* Top 60,000 lemmas, with word forms for each lemma
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete word frequency data from COCA, please see https://www.wordfrequency.info
* For instructions on using this file in Excel, see https://www.wordfrequency.info/freqTxtToExcel.pdf
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp
----- Before converting file to Excel, remove the first eight lines, with the first line being the one starting with "rank"

lemRank	lemma	PoS	lemFreq	wordFreq	word
42795	killjoy	n	133	23	killjoys
42805	speeding	n	133	133	speeding
42815	egg-laying	j	133	133	egg-laying
42825	leftward	r	133	133	leftward
42835	intersectional	j	133	133	intersectional
42845	motion-picture	j	133	133	motion-picture
42855	mass-production	n	133	133	mass-production
42865	corkboard	n	133	133	corkboard
42875	blue	v	133	96	blue
42875	blue	v	133	32	blued
42875	blue	v	133	5	blueing
42885	discomfiture	n	133	133	discomfiture
42895	darter	n	133	97	darter
42895	darter	n	133	36	darters
42905	performativity	n	132	132	performativity
42915	drug-sniffing	j	132	132	drug-sniffing
42925	Bostonian	j	132	132	bostonian
42935	crawlspace	n	132	132	crawlspace
42945	optimality	n	132	132	optimality
42955	market-rate	j	132	132	market-rate
42965	biogenic	j	132	132	biogenic
42975	grabby	j	132	132	grabby
42985	swashbuckle	n	132	125	swashbuckling
42985	swashbuckle	n	132	6	swashbuckle
42995	turf	v	132	102	turf
42995	turf	v	132	21	turfed
42995	turf	v	132	9	turfing
43005	reproductively	r	131	131	reproductively
43015	fulminate	v	131	47	fulminating
43015	fulminate	v	131	45	fulminated
43015	fulminate	v	131	28	fulminate
43015	fulminate	v	131	11	fulminates
43025	Stalinist	n	131	115	stalinists
43025	Stalinist	n	131	16	stalinist
43035	ten-four	m	131	131	ten-four
43045	unimproved	j	131	131	unimproved
43055	merman	n	131	94	merman
43055	merman	n	131	37	mermen
43065	allopathic	j	131	131	allopathic
43075	rhetorician	n	131	70	rhetoricians
43075	rhetorician	n	131	61	rhetorician
43085	nephropathy	n	131	131	nephropathy
43095	streamside	n	131	131	streamside
43105	playbill	n	131	84	playbill
43105	playbill	n	131	47	playbills
43115	scripting	n	130	130	scripting
43125	postprandial	j	130	130	postprandial
43135	roll-call	n	130	130	roll-call
43145	cipher	v	130	90	cipher
43145	cipher	v	130	40	ciphers
43155	agenda-setting	j	130	130	agenda-setting
43165	meddler	n	130	82	meddler
43165	meddler	n	130	48	meddlers
43175	human-powered	j	130	130	human-powered
43185	tasseled	j	130	130	tasseled
43195	five-acre	j	130	130	five-acre
43205	wretchedly	r	130	130	wretchedly
43215	twice-daily	j	129	129	twice-daily
43225	splintering	n	129	129	splintering
43235	weaponization	n	129	129	weaponization
43245	Taoist	j	129	129	taoist
43255	idiotically	r	129	129	idiotically
43265	megalopolis	n	129	129	megalopolis
43275	signboard	n	129	94	signboard
43275	signboard	n	129	35	signboards
43285	oscillatory	j	129	129	oscillatory
43295	retractor	n	129	93	retractor
43295	retractor	n	129	36	retractors
43305	necrophilia	n	129	129	necrophilia
43315	pretest-posttest	j	129	129	pretest-posttest
43325	fashion-forward	j	128	128	fashion-forward
43335	earth-moving	j	128	93	earth-moving
43335	earth-moving	j	128	35	earthmoving
43345	bookmobile	n	128	128	bookmobile
43355	double-stranded	j	128	128	double-stranded
43365	contretemps	n	128	128	contretemps
43375	attention-deficit	j	128	128	attention-deficit
43385	joinery	n	128	128	joinery
43395	lariat	n	128	105	lariat
43395	lariat	n	128	23	lariats
43405	eightfold	j	128	109	eightfold
43405	eightfold	j	128	19	eight-fold
43415	kaolin	n	128	128	kaolin
43425	kleptocracy	n	127	127	kleptocracy
43435	symbolise	v	127	49	symbolises
43435	symbolise	v	127	38	symbolise
43435	symbolise	v	127	30	symbolised
43435	symbolise	v	127	10	symbolising
43445	hospital-acquired	j	127	127	hospital-acquired
43455	ceremonially	r	127	127	ceremonially
43465	majority-minority	j	127	127	majority-minority
43475	adagio	n	127	121	adagio
43475	adagio	n	127	6	adagios
43485	chicken-and-egg	j	127	127	chicken-and-egg
43495	rockabilly	j	127	127	rockabilly
43505	soft-money	j	127	127	soft-money
43515	peanut-butter	j	127	127	peanut-butter
43525	decode	n	126	118	decode
43525	decode	n	126	8	decodes
43535	commentariat	n	126	126	commentariat
43545	reacquire	v	126	76	reacquire
43545	reacquire	v	126	50	reacquired
43555	pickax	n	126	126	pickax
43565	chieftaincy	n	126	109	chieftaincy
43565	chieftaincy	n	126	17	chieftaincies
43575	afterbirth	n	126	122	afterbirth
43585	bailiwick	n	126	118	bailiwick
43585	bailiwick	n	126	8	bailiwicks
43595	quaternary	j	126	126	quaternary
43605	untranslated	j	126	126	untranslated
43615	wheezing	j	126	126	wheezing
43625	hatless	j	126	126	hatless
43635	sweet-potato	j	126	126	sweet-potato
43645	fraktur	n	126	126	fraktur
43655	toadstool	n	125	66	toadstools
43655	toadstool	n	125	59	toadstool
43665	hereto	r	125	125	hereto
43675	speckle	v	125	54	speckle
43675	speckle	v	125	49	speckling
43675	speckle	v	125	22	speckles
43685	wiggly	j	125	125	wiggly
43695	ungrammatical	j	125	125	ungrammatical
43705	radio-controlled	j	125	125	radio-controlled
43715	augury	n	125	78	augury
43715	augury	n	125	47	auguries
43725	magnetized	j	125	125	magnetized
43735	advisee	n	125	79	advisees
43735	advisee	n	125	46	advisee
43745	nuclear-free	j	125	125	nuclear-free
43755	browning	n	125	125	browning
43765	subcortical	j	125	125	subcortical
43775	sand-colored	j	125	125	sand-colored
43785	conjuncture	n	124	94	conjuncture
43785	conjuncture	n	124	30	conjunctures
43795	recirculation	n	124	124	recirculation
43805	phytonutrient	n	124	123	phytonutrients
43815	chlorpyrifos	n	124	124	chlorpyrifos
43825	ludic	j	124	124	ludic
43835	melaleuca	n	124	124	melaleuca
43845	ultra-sensitive	j	124	76	ultrasensitive
43845	ultra-sensitive	j	124	48	ultra-sensitive
43855	text-only	j	124	124	text-only
43865	government-mandated	j	124	124	government-mandated
43875	ejaculate	n	124	95	ejaculate
43875	ejaculate	n	124	29	ejaculates
43885	year-earlier	j	124	124	year-earlier
43895	titter	n	123	65	titters
43895	titter	n	123	58	titter
43905	spread-eagled	j	123	123	spread-eagled
43915	stoical	j	123	123	stoical
43925	lidded	j	123	123	lidded
43935	integrationist	n	123	93	integrationist
43935	integrationist	n	123	30	integrationists
43945	undrained	j	123	123	undrained
43955	analyte	n	123	76	analytes
43955	analyte	n	123	47	analyte
43965	aetiology	n	123	115	aetiology
43965	aetiology	n	123	8	aetiologies
43975	cuatro	n	123	123	cuatro
43985	prehensile	j	123	123	prehensile
43995	patient-specific	j	123	123	patient-specific
44005	debugging	n	122	122	debugging
44015	stutterer	n	122	72	stutterers
44015	stutterer	n	122	50	stutterer
44025	mezzo	n	122	122	mezzo
44035	cancer-related	j	122	122	cancer-related
44045	codename	n	122	111	codename
44045	codename	n	122	11	codenames
44055	narcissus	n	122	122	narcissus
44065	nonverbally	r	122	85	nonverbally
44065	nonverbally	r	122	37	non-verbally
44075	unwaveringly	r	122	122	unwaveringly
44085	last-second	j	122	122	last-second
44095	stadia	n	122	122	stadia
44105	impiety	n	122	122	impiety
44115	kidder	n	122	122	kidder
44125	former	n	121	99	formers
44125	former	n	121	22	former
44135	voluntarism	n	121	121	voluntarism
44145	video-based	j	121	121	video-based
44155	territorially	r	121	121	territorially
44165	ultra-low	j	121	121	ultra-low
44175	chapstick	n	121	121	chapstick
44185	battle-tested	j	121	121	battle-tested
44195	cohosh	n	121	121	cohosh
44205	cuckold	n	121	112	cuckold
44205	cuckold	n	121	9	cuckolds
44215	bosun	n	121	118	bosun
44225	preschool-age	j	121	121	preschool-age
44235	password-protected	j	121	121	password-protected
44245	popover	n	121	62	popovers
44245	popover	n	121	59	popover
44255	prosecutable	j	120	120	prosecutable
44265	plebeian	j	120	120	plebeian
44275	preprogrammed	j	120	120	preprogrammed
44285	bullshitter	n	120	120	bullshitter
44295	pertinence	n	120	120	pertinence
44305	cowpea	n	120	66	cowpeas
44305	cowpea	n	120	54	cowpea
44315	one-hundredth	m	120	120	one-hundredth
44325	simian	n	120	65	simian
44325	simian	n	120	55	simians
44335	ampersand	n	120	106	ampersand
44335	ampersand	n	120	14	ampersands
44345	unfixed	j	120	120	unfixed
44355	sex-role	j	120	120	sex-role
44365	flexing	n	120	119	flexing
44375	reproachfully	r	120	120	reproachfully
44385	tongue	v	120	47	tonguing
44385	tongue	v	120	37	tongue
44385	tongue	v	120	36	tongued
44395	wonderingly	r	119	119	wonderingly
44405	weak-kneed	j	119	119	weak-kneed
44415	teabag	n	119	64	teabag
44415	teabag	n	119	55	teabags
44425	nosocomial	j	119	119	nosocomial
44435	puja	n	119	103	puja
44435	puja	n	119	16	pujas
44445	autoloader	n	119	60	autoloaders
44445	autoloader	n	119	59	autoloader
44455	globalizing	j	119	119	globalizing
44465	church-related	j	119	119	church-related
44475	ruffed	j	119	119	ruffed
44485	dumbwaiter	n	119	119	dumbwaiter
44495	plowshare	n	119	86	plowshares
44495	plowshare	n	119	33	plowshare
44505	promiscuously	r	118	118	promiscuously
44515	defibrillation	n	118	118	defibrillation
44525	small-government	j	118	118	small-government
44535	recordkeeping	n	118	118	recordkeeping
44545	cross-cut	n	118	81	crosscut
44545	cross-cut	n	118	18	crosscuts
44545	cross-cut	n	118	14	cross-cuts
44545	cross-cut	n	118	5	cross-cut
44555	codebase	n	118	118	codebase
44565	genially	r	118	118	genially
44575	non-slip	j	118	68	nonslip
44575	non-slip	j	118	50	non-slip
44585	intra-regional	j	118	62	intra-regional
44585	intra-regional	j	118	56	intraregional
44595	vegetate	v	118	62	vegetated
44595	vegetate	v	118	31	vegetate
44595	vegetate	v	118	25	vegetating
44605	flounce	n	118	60	flounce
44605	flounce	n	118	58	flounces
44615	supply-sider	n	118	80	supply-siders
44615	supply-sider	n	118	38	supply-sider
44625	highchair	n	118	106	highchair
44625	highchair	n	118	12	highchairs
44635	Franco-prussian	j	117	117	franco-prussian
44645	sharpening	n	117	113	sharpening
44655	vice-principal	n	117	117	vice-principal
44665	three-factor	j	117	117	three-factor
44675	bisphosphonate	n	117	103	bisphosphonates
44675	bisphosphonate	n	117	14	bisphosphonate
44685	adiponectin	n	117	117	adiponectin
44695	Counter-reformation	n	117	117	counter-reformation
44705	blue-haired	j	117	117	blue-haired
44715	stop-gap	j	117	117	stop-gap
44725	confessional	j	117	117	confessional
44735	deciliter	n	117	117	deciliter
44745	snakehead	n	116	81	snakeheads
44745	snakehead	n	116	35	snakehead
44755	presentational	j	116	116	presentational
44765	no-kill	j	116	116	no-kill
44775	old-guard	j	116	116	old-guard
44785	long-dormant	j	116	116	long-dormant
44795	mistranslation	n	116	87	mistranslation
44795	mistranslation	n	116	29	mistranslations
44805	bibliophile	n	116	59	bibliophile
44805	bibliophile	n	116	57	bibliophiles
44815	hypnotherapy	n	116	116	hypnotherapy
44825	well-structured	j	116	116	well-structured
44835	free-spending	j	116	116	free-spending
44845	redial	v	116	114	redial
44855	titration	n	116	116	titration
44865	heart-attack	j	115	115	heart-attack
44875	sport-fishing	j	115	80	sportfishing
44875	sport-fishing	j	115	35	sport-fishing
44885	stock-still	j	115	115	stock-still
44895	warmongering	j	115	115	warmongering
44905	thawing	n	115	115	thawing
44915	isosceles	n	115	115	isosceles
44925	media-savvy	j	115	115	media-savvy
44935	mouthpart	n	115	101	mouthparts
44935	mouthpart	n	115	14	mouthpart
44945	glass-fronted	j	115	115	glass-fronted
44955	coeliac	j	115	115	coeliac
44965	C-section	j	115	115	c-section
44975	reader-response	j	115	115	reader-response
44985	street-corner	j	115	115	street-corner
44995	pointlessness	n	115	115	pointlessness
45005	fine-boned	j	114	114	fine-boned
45015	entropic	j	114	114	entropic
45025	budget-friendly	j	114	114	budget-friendly
45035	blue-water	j	114	78	blue-water
45035	blue-water	j	114	36	bluewater
45045	crumple	n	114	78	crumple
45045	crumple	n	114	36	crumples
45055	panfish	n	114	114	panfish
45065	gobsmack	v	114	114	gobsmacked
45075	arsenate	n	114	114	arsenate
45085	messily	r	114	114	messily
45095	unsheathed	j	114	114	unsheathed
45105	well-guarded	j	114	114	well-guarded
45115	waterslide	n	114	64	waterslide
45115	waterslide	n	114	50	waterslides
45125	semi-truck	n	114	79	semi-truck
45125	semi-truck	n	114	35	semi-trucks
45135	indoor-outdoor	j	114	114	indoor-outdoor
45145	redefined	j	113	113	redefined
45155	self-education	n	113	113	self-education
45165	flat-topped	j	113	113	flat-topped
45175	Vietnamese-american	j	113	113	vietnamese-american
45185	tidally	r	113	113	tidally
45195	icehouse	n	113	95	icehouse
45195	icehouse	n	113	18	icehouses
45205	cetacean	j	113	113	cetacean
45215	apolipoprotein	n	113	86	apolipoprotein
45215	apolipoprotein	n	113	27	apolipoproteins
45225	sixfold	r	113	113	sixfold
45235	contractile	j	113	113	contractile
45245	culture-specific	j	113	113	culture-specific
45255	newswire	n	113	89	newswire
45255	newswire	n	113	24	newswires
45265	slimeball	n	113	113	slimeball
45275	de-stress	v	113	84	de-stress
45275	de-stress	v	113	29	de-stressing
45285	scourge	v	112	82	scourged
45285	scourge	v	112	30	scourging
45295	etic	j	112	112	etic
45305	recession-proof	j	112	112	recession-proof
45315	downsizing	j	112	95	downsizing
45315	downsizing	j	112	17	down-sizing
45325	chocolatier	n	112	83	chocolatier
45325	chocolatier	n	112	29	chocolatiers
45335	sickroom	n	112	112	sickroom
45345	apoplexy	n	112	112	apoplexy
45355	backed-up	j	112	112	backed-up
45365	not-guilty	j	112	112	not-guilty
45375	innovativeness	n	112	112	innovativeness
45385	voter-registration	j	112	112	voter-registration
45395	eight-man	j	112	112	eight-man
45405	front-page	n	112	65	front-page
45405	front-page	n	112	47	frontpage
45415	twinkly	j	112	112	twinkly
45425	refillable	j	111	111	refillable
45435	seaway	n	111	93	seaway
45435	seaway	n	111	18	seaways
45445	Greenbrier	n	111	111	greenbrier
45455	horseless	j	111	111	horseless
45465	unsystematic	j	111	111	unsystematic
45475	underclothes	n	111	111	underclothes
45485	cave-like	j	111	56	cavelike
45485	cave-like	j	111	55	cave-like
45495	bast	n	111	111	bast
45505	gloating	n	111	111	gloating
45515	open-hearted	j	111	89	open-hearted
45515	open-hearted	j	111	22	openhearted
45525	odorant	n	111	56	odorant
45525	odorant	n	111	55	odorants
45535	misandry	n	111	111	misandry
45545	consolidator	n	111	61	consolidators
45545	consolidator	n	111	50	consolidator
45555	scholasticism	n	111	111	scholasticism
45565	polymorphous	j	110	110	polymorphous
45575	smoothing	j	110	110	smoothing
45585	Edelweiss	n	110	110	edelweiss
45595	mirthless	j	110	110	mirthless
45605	resource-based	j	110	110	resource-based
45615	single-gender	j	110	110	single-gender
45625	man-sized	j	110	110	man-sized
45635	cellulitis	n	110	110	cellulitis
45645	nonviolently	r	110	74	nonviolently
45645	nonviolently	r	110	36	non-violently
45655	interpenetration	n	110	108	interpenetration
45665	late-onset	j	110	110	late-onset
45675	gray-white	j	110	110	gray-white
45685	split-screen	j	110	110	split-screen
45695	reframing	n	110	110	reframing
45705	heterogenous	j	109	109	heterogenous
45715	ineluctably	r	109	109	ineluctably
45725	frenetically	r	109	109	frenetically
45735	spymaster	n	109	109	spymaster
45745	weekender	n	109	62	weekenders
45745	weekender	n	109	47	weekender
45755	valour	n	109	109	valour
45765	hydrocephalus	n	109	109	hydrocephalus
45775	medevac	n	109	109	medevac
45785	madrasa	n	109	71	madrasas
45785	madrasa	n	109	38	madrasa
45795	alertly	r	109	109	alertly
45805	Okie	n	109	109	okie
45815	bullied	j	109	109	bullied
45825	recounting	n	109	109	recounting
45835	snake-oil	j	109	109	snake-oil
45845	population-level	j	109	109	population-level
45855	sculpin	n	108	84	sculpin
45855	sculpin	n	108	24	sculpins
45865	parmigiana	n	108	108	parmigiana
45875	prefatory	j	108	108	prefatory
45885	pinewood	n	108	78	pinewood
45885	pinewood	n	108	30	pinewoods
45895	clanking	n	108	108	clanking
45905	allelic	j	108	108	allelic
45915	anthracite	n	108	108	anthracite
45925	castanet	n	108	92	castanets
45925	castanet	n	108	16	castanet
45935	upcountry	n	108	108	upcountry
45945	whomsoever	p	108	108	whomsoever
45955	emasculation	n	108	108	emasculation
45965	yes-man	n	108	69	yes-men
45965	yes-man	n	108	39	yes-man
45975	turbolift	n	108	108	turbolift
45985	tole	n	107	107	tole
45995	galleria	n	107	107	galleria
46005	grating	n	107	107	gratings
46015	hireling	n	107	57	hireling
46015	hireling	n	107	50	hirelings
46025	ivy-covered	j	107	107	ivy-covered
46035	meanly	r	107	107	meanly
46045	sickened	j	107	107	sickened
46055	college-going	j	107	107	college-going
46065	rupiah	n	107	91	rupiah
46065	rupiah	n	107	16	rupiahs
46075	potholed	j	107	87	potholed
46075	potholed	j	107	20	pot-holed
46085	pedaling	j	107	107	pedaling
46095	dampened	j	107	107	dampened
46105	pneumothorax	n	106	106	pneumothorax
46115	sumbitch	n	106	106	sumbitch
46125	dismissed	j	106	106	dismissed
46135	millenarian	j	106	106	millenarian
46145	domestic-violence	j	106	106	domestic-violence
46155	chewable	j	106	106	chewable
46165	client-centered	j	106	106	client-centered
46175	multiprocessor	n	106	91	multiprocessor
46175	multiprocessor	n	106	15	multiprocessors
46185	ascertainment	n	106	106	ascertainment
46195	non-practicing	j	106	79	non-practicing
46195	non-practicing	j	106	27	nonpracticing
46205	immobilized	j	106	106	immobilized
46215	late-blooming	j	106	106	late-blooming
46225	half-blind	j	106	106	half-blind
46235	foot-high	j	106	106	foot-high
46245	top-grossing	j	106	106	top-grossing
46255	tuneless	j	105	105	tuneless
46265	relationally	r	105	105	relationally
46275	grafted	j	105	105	grafted
46285	hitching	j	105	105	hitching
46295	jetsam	n	105	105	jetsam
46305	blackfish	n	105	105	blackfish
46315	mixed-effects	j	105	105	mixed-effects
46325	multi-user	j	105	105	multi-user
46335	clinking	n	105	105	clinking
46345	once-a-week	j	105	105	once-a-week
46355	cannily	r	105	105	cannily
46365	middle-of-the-night	j	105	105	middle-of-the-night
46375	substantiated	j	105	105	substantiated
46385	patellofemoral	j	105	105	patellofemoral
46395	processional	n	104	104	processional
46405	degree-granting	j	104	104	degree-granting
46415	stygian	j	104	104	stygian
46425	rappel	n	104	75	rappel
46425	rappel	n	104	26	rappels
46435	downshift	n	104	62	downshift
46435	downshift	n	104	42	downshifts
46445	cottonseed	n	104	104	cottonseed
46455	cline	n	104	91	cline
46455	cline	n	104	13	clines
46465	sirree	n	104	104	sirree
46475	backlist	n	104	104	backlist
46485	biopharmaceutical	j	104	104	biopharmaceutical
46495	jaywalker	n	104	55	jaywalker
46495	jaywalker	n	104	49	jaywalkers
46505	tickler	n	104	78	tickler
46505	tickler	n	104	26	ticklers
46515	laughing	n	104	104	laughing
46525	haberdasher	n	104	79	haberdasher
46525	haberdasher	n	104	25	haberdashers
46535	shareholding	n	104	73	shareholding
46535	shareholding	n	104	31	shareholdings
46545	self-selection	j	104	104	self-selection
46555	supergiant	j	104	93	supergiant
46555	supergiant	j	104	11	super-giant
46565	ketosis	n	104	104	ketosis
46575	work-at-home	j	103	103	work-at-home
46585	eery	j	103	50	eery
46585	eery	j	103	36	eeriest
46585	eery	j	103	17	eerier
46595	Us-sponsored	j	103	72	u.s.-sponsored
46595	Us-sponsored	j	103	30	us-sponsored
46605	teacher-led	j	103	103	teacher-led
46615	thornless	j	103	103	thornless
46625	non-school	j	103	103	non-school
46635	altiplano	n	103	103	altiplano
46645	low-status	j	103	103	low-status
46655	overmuch	r	103	103	overmuch
46665	run-scoring	j	103	103	run-scoring
46675	nitpicky	j	103	103	nitpicky
46685	extrasensory	j	103	103	extrasensory
46695	partying	j	103	103	partying
46705	fast-acting	j	102	102	fast-acting
46715	people-watching	n	102	102	people-watching
46725	smartness	n	102	102	smartness
46735	recline	n	102	88	recline
46735	recline	n	102	14	reclines
46745	Brigantine	n	102	98	brigantine
